,airline,author,date,content,cabin,overall
563,singapore-airlines,M Abbott,2015-06-18,"Flew SIN - JNB on business, and in business class on SQ. Service to their usual high standard. Food out of SIN was very nice, food out of JNB was very average, but I assume that is dependant on what the local ground handlers can provide. Cabin clean enough and well maintained. SQ's lie flat seats - you either like them or you don't. I am in the latter category. Not supportive enough when seated, and too hard and with an odd angled lying position when flat. But this is old news and newer cabins are on their way. Main complaint was that this B777-200ER was a bit tired in terms of ICE (smallish screens with limited movie collection) and WIFI (there wasn't any!). The latter was a particular bugbear for me as the return flight was daytime, I planned to get some work done, but couldn't due to no WIFI connection. This isn't really good enough these days and SQ need to upgrade their fleet in that respect PDQ!",Business,7
564,lufthansa,Mike Seaton,2015-06-12,We flew from Miami to Barcelona to catch a cruise and came back to Miami from Venice two weeks later. A380-800 on the long haul and A320-200 on the short flights. My wife needed and received through Lufthansa special services wheelchair assistance. The Lufthansa staff was wonderful and took care of all of our needs promptly. The meals in economy were very good and water and juice were distributed 4 times during the long haul flights. The staff were very welcoming throughout the flights. We try to fly Lufthansa whenever possible.,Economy,10
565,westjet,David Nolsoe,2015-07-29,"Flew WestJet across the pond from Glasgow to Toronto with a stop in Halifax. Flight was on time, smooth and overall very pleasant. Ground staff were friendly, flight attendants were as well and the Captain who came out to make a welcome aboard announcement from the galley.They have Seatback TV which isn't available until you reach Canadian airspace so they play free movies as well. Food selection could be better but overall good value for the money.",Economy,8
566,air-canada,Rodrigo Larrain,2015-06-14,"Flew from New York to Beijing via Toronto in May and coming back June 11th. I was badly surprised by the lack of professionalism of Air Canada FA. I was spoilt with hot liquids, water and juice 3 times during the flight from Beijing to Toronto, by different FA. Full flight both times, no smiles and kindness from any of the flight attendants, they were rude and seem to be very upset with some of the passengers. Our flight from PEK-YYZ was delayed due to two passengers missing, and while waiting on board, one of the FA's over the microphone said ""Perhaps we should give a round applause to the two passengers missing"". I find this very disrespectful and inappropriate. Overall, not a pleasant flight, rude cabin crew who shouted for people to remain seated, they didnt seem to care for passengers and they we were just doing their job with minimum standards. Very disappointing experience with Air Canada.",Economy,5
567,air-india,Abdul Hamid Jacob-Hassan,2015-07-23,Flight was half empty. Crew were cordial and food was served immediately. The light-changing windows were slightly annoying. Prefer Jet for short-haul and domestic routes.,Economy,4
568,delta-air-lines,John C Wright,2015-06-19,"Left Minneapolis RT to San Jose in June. First Class RT paid ticket. On the flight out we were served a full breakfast. The food was actually not bad. Flight attendant was very attentive and quiet busy checking on all passengers. Did not disappear after the meal service. The flight back to Minneapolis was also excellent. Boarding was orderly in both directions. Lunch was a large salad. However, only one choice. It was a Salmon Salad. Quite a few of passengers turned it down, including me. I was surprised there were not at least 2 choices. Once again First class FA was great. Waiting to board in both directions, the checked baggage and the number of carry on is being abused. in both directions. People were checking bags that were huge. Not sure how they got past TSA. Gate Agents need to enforce bag sizes and the number of bags people try to drag on.",First,9
569,norwegian,K Svensson,2015-06-12,"DY 4053, 5 June. For the second time this year I flew Norwegian between Stockholm and Malmö. For the second time there was a 2 hour delay due to mechanical problems. No compensation at all. The even wanted to charge 30SEK for a cup of coffee.  Never again Norwegian!",Economy,1
570,united-airlines,Bojan Tercon,2015-07-13,UA is raking in the profits but that was certainly not noticeable on this old A320 service from New York to Denver. The plane is old. The First Class seats are tired. Service is exhausting. On this flight they had 1 flight attendant for 12 pax! The problem that I have with UA is that they are so inconsistent with their product and service range. On a positive note - I do have to say that my meal was quite good.,First,6
571,etihad-airways,P Vlogianitis,2015-08-01,"MEL-AUH on time, crew attentive. IFE very good had a wide range of channels. Food delicious, seats comfortable but felt crammed in. AUH-ATH was a shocker. Abu Dhabi ground staff are rude and airport is poorly run. The flight wasn't much better with rude staff. My headphones didn't work and the FA wouldn't give me a new pair. Food was mediocre and legroom was a better. Flight was filled was children that were running wildly through the cabin. Before landing, passengers were self serving themselves alcohol in the galley. Business Class was complaining but FAs didn't care.",Economy,6
572,british-airways,A Ray,2015-07-20,"I might have been in economy for service, food and seating, 8 abreast. No room to move. If you are over 80kg or 6', you're squashed completely. WC clean with paper towels. Adequate IFE. The difference between older crew on prior sectors and young cabin crew on this flight was stark. They were polite and totally wooden. On past sectors the older crew took the time to know you and, as a frequent flyer, even say thanks for choosing BA. Hung clothes returned crushed. The dinner was the same as Jet Airways domestic economy. Breakfast at 03.30 a bit of fruit, tepid tea, pastry and egg roll served out of alfoil. Club World is like a stretched Economy with a Business Class fare.",Business,3
573,norwegian,G Enders,2015-07-04,I had the best transatlantic flight experience. This is due largely to Boeing 787 aircraft. Their Premium Economy surpasses any other Premium Economy class that I have flown on other airlines. Most charge almost double for the same service. I hope Norwegian eventually figures out that if they added lie-down flat business class seats they would be even more competitive. I used Norwegian on a return flight from JFK-LGW and and back. ,Business,9
574,germanwings,Nigel Tansley,2015-07-30,"Flight on time, booked smart fare which gave Extra Legroom seat, snack/drink and 23kg of hold luggage for a very good price. Cabin very clean, comfortable seat with plenty of legroom (I am 6'4"" tall). Very efficient and pleasant cabin crew.",Economy,10
575,malaysia-airlines,Mike Fewster,2015-06-26,"Reasonable legroom, and the food was quite good for economy, with adequate portions. Wine was okay. Entertainment system had good screen and plenty of choices. Cabin staff were polite and efficient. Baggage transfer between flights at KUL and final delivery at Hong Kong was also fine. A smooth, good value experience.",Economy,9
576,american-airlines,J Kueh,2015-07-06,"Flew American Airlines from Tokyo to Chicago, 11-hour flight. We were a little delayed, but that didn't matter, the pilots did their best to make up for it and we arrived 45 minutes before the estimated arrival time. The flight was full, and as usual, the airspace around Tokyo Narita was congested, and there were about 7 planes queuing in front of us to take off. The little TV screen monitor that they had on the seat in front of me was tiny, and didn't have very many shows to watch. But, the staff were extremely friendly, and they had multiple drink options. I was seated in the window seat of row 41, and I had to try to climb over the person sitting next to me, who was sleeping, in which I failed. If you can find a flight with another airline, I'd probably take it.",Economy,4
577,small-planet-airlines-uab,Stephen Wallace,2015-07-18,"As with a lot of people never heard of Small Planet Airlines so was a bit apprehensive but let me tell anybody who is flying with them there is no need to worry. Modern, clean aircraft, friendly, hard working staff. A very pleasant experience.",Economy,10
578,sunwing-airlines,C Kidd,2015-07-23,"I read terrible reviews of this airline and was not expecting much. To my surprise this was one of the best airlines I have flown. We did leave late both in going to my destination and returning, (1 hour each time) and that was not fun. The stewardess were so friendly, attentive, and I felt they went the extra mile to ensure the passengers had a pleasant flight. I am tall and I was worried about the leg room, but I had plenty of leg room. The seats were wide enough and my family was comfortable during our 3.5 hour flight. We had champaign on our flight to our destination, it was okay, a nice touch. There was a meal which really was nothing more than a grown-up hot pocket. It was tasty, but nothing to write home about. All in all I would certainly fly with Sunwing again. ",Economy,9
579,lufthansa,T Eldem,2015-07-19,"Check in was quick and efficient. While boarding the aircraft an announcement was made for priority boarding of business class passengers and those with Star Alliance Gold status. As a Gold member I moved into the priority line and when checking my boarding pass the gate agent complained about me going ahead even though the announcement clearly allowed for it. Once on board the aircraft was in pristine condition. As it was not a full flight I moved into a row all to myself and had a very comfortable journey. The FA's were not particularly friendly and performed the inflight service like preprogrammed robots. The dinner served was fairly basic but quite tasty. Flight left late but the crew me up for the delay resulting in on schedule arrival. The bags took nearly 40 minutes to come out and those tagged ""priority"" came out last. Overall it was a good travel experience but below the standard I have come to expect from Lufthansa.",Economy,5
580,austrian-airlines,Marianne Kane,2015-07-27,"Every thing was fine until the ""meal"" was served. It was placed on my tray and when I asked what it was I was told vegetarian pasta. I asked if it had cheese and when told yes I asked for an alternative. In a very nasty tone I was told I should have requested a special meal. And that was that. Luckily the passenger next to me didn't want his kosher meal and gave it to me.",Economy,3
581,united-airlines,Paul Hanson,2015-06-19,"Previously we flew United to the US in August 2015 - Sydney to SFO, SFO to LAX, then LVG to Sydney via SFO. No problems, no delays, no cancellations. This past May we flew again to the US with United. I have to admit that this time I was concerned as I had read many bad reviews about the airline. We had also requested upgrades on all flights to Business First and had been approved on our outward and return flights. Then my fears were realised when one hour after checking in online for our flight to SFO I received an email informing me the flight had been cancelled due to the inability to find a crew to fly the plane from SFO to Sydney. After a frantic call to United we were put on the LAX flight which left 2 hours earlier the next day. Of course we lost our upgrade but the customer service rep was good enough to put us in Economy Plus at no charge. Again my fears came back when we were at the airport to be informed that the flight was delayed due to the inbound flight being delayed at LAX. However that said the pilot was able to make up time in the air and we actually landed early in LAX and easily made our connecting flight to New York. This was the only problem we encountered with United on this trip.",Premium Economy,6
582,allegiant-air,P Hofman,2015-07-12,"They used the same excuse as they did my last flight (LAX to SFG) a week ago that there were ""maintenance issues"" that caused the delay. That flight was delayed more than 2 hours (the pilot said we couldn't leave at the delayed time because there was still ""paperwork"" that was being filled out). Now the return flight is delay more than 4 hours. It hasn't even left L.A. Yet to get to SFG, when it was supposed to have been here an hour ago!",Economy,1
583,air-canada-rouge,Andrea Sabean,2015-07-07,"We travelled Air Canada and Air Canada Rouge to Italy in June/July 2015. For once, we have very positive things to say about Air Canada. Air Canada Rouge was very comfortable for the longer flights overseas - even offering meals, snacks, blankets and pillows. The inflight entertainment we used on our own Apple devices worked very well, and there was one plug in our seat area for charging. It was nice to be able to choose our seats ahead of time with no charges as well. The most positive thing we have to say about our flights is that I accidentally left my ipad mini on board our very last flight going into Halifax. The flight attendant went out of her way to turn my ipad into lost and found and even emailed me telling me this. It had ended up in St John's, NFLD, where we arranged pick up to have it returned to us. We received it a couple of days later. I am very thankful and grateful to her and the other employees in lost and found who made sure I received my ipad back! As far as I'm concerned, they went above and beyond.",Economy,8
584,etihad-airways,Shaheda Altaf,2015-06-20,"On 15th June I flew Etihad Airways Frankfurt to Kuala Lumpur via Abu Dhabi. Their inflight entertainment was good and the new soft neck pillow was a nice touch to help sleep during the long flight. I found that the food quality has deteriorated considerably from last time I traveled Etihad, not too long ago. The portions were small and the food was not tasty. Just before landing a muffin was offered with tea or coffee. This seems that the airline is cutting cost on their food. The crew seemed to be friendly and attentive. The transfer of passengers from the plane in Abu Dhabi to the main arrival hall in a bus is very uncomfortable because in sweltering heat it is hard to walk up to the bus especially for the elderly. I hope Etihad takes into account these points if they care for the economy passengers.",Economy,5
585,frontier-airlines,James P Molloy,2015-07-29,"Forget about choosing your seat during online check-in unless you desire to pay for the privilege. If you elect to not pay, the system chooses for you. Baggage fees: Many so-called low cost airlines now charge baggage fees for carry-on bags, however, it is as if Frontier has a scam to collect extra baggage fees. At no point in the process was it apparent there is a fee for carry-on baggage. I checked-in online and paid checked-bag fees, I did not see anything about fees for carry-on bags. At the check-in desk, the agent said nothing about carry-on bag fees. At the gate I was forced to pay $60 for a small carry-on bag. I was one of at least 6 other passengers who learned this at the gate, all of us were surprised and appalled about the lack of information on this fee. The gate agent told me they aren't req'd to inform passengers about the fee at check-in. He said the cost is $25 if paid online, $40 if paid at the check-in desk, $60 if paid at the gate. If I had known this, I would not have had a carry-on bag. We were 3 passengers with 2 checked bags and 1 small carry-on bag. If we had taken 3 carry-ons, I would have had to pay $180 dollars at the gate. Also, the seats were terrible, and the service reps were cold and uninformative. Last trip with Frontier. ",Economy,1
586,thomson-airways,Adam Boon,2015-07-13,"Read a load of reviews complaining about legroom issues. I'm 6ft 4 and was absolutely fine on the plane. Ok it wasn't the most comfortable I'd been in my life, but it's like sitting on a coach for 4 hours. It's bearable. We had checked in at Birmingham within 20 mins and had an alright flight. Coming back, Dalaman airport was madness! Also, a woman had a panic attack on take off coming back and the crew were good in helping her. I've read these reviews and come to this conclusion though: if you're expecting a silver service, top class flying experience and are measuring Thomson against Singapore airlines, you're going to be let down. Massively. But, if you're realistic then you'll be fine. As I say, 6 foot 4, long legs. I didn't expect masses of legroom, I didn't pay for extra space. I was fine. I was just grateful they didn't lose my bag.",Economy,7
587,eva-air,Bo-Jun Ke,2015-07-14,The cabin service was very good. We had a baby with us and they gave us a seat with larger legroom. The on-board meal was good including the baby food. I will fly them again. ,Economy,10
588,hong-kong-airlines,Francis Wong,2015-06-30,"I have experienced wonderful hospitality, food and beverage that is above average and quite delicious. The lounge is spacious and with good food, some even made to order. I got the excellent 1-2-1 new style flat bed pod seat, very private and great to relax in for a 5 hours flight. AVOD has limited choice, but for a regional airlines that's ok. Upon return, check in queue is short and efficient, using a shared lounge on 4th floor at DPS airport. The return flight experience was as good as the last. All in all, I am very impressed by this flight and feels confidence to use them again for going to Bali, which is at a fraction of the price to two of the big airlines who fly this route direct.",Business,8
589,azerbaijan-airlines,Mehdi Sametoglu,2015-07-25,AZAL offers a great meal and good seats. Today's flight was on an A319. The seats were big. The plane landed at the new terminal. Overall a nice flight experience!,Economy,10
590,china-southern-airlines,F Yang,2015-07-20,"Flew CZ321, CAN-MEL on 11/04/2015 in business class. The check-in process was quick and hassle free. In the CS lounge they provide tablet devices as a portable entertainment system which helps to kill some waiting time. Similar devices are now also handed out on short domestic flights with small aircrafts (business class w/o IFE). The CAN-MEL flight itself was decent with regular drinks run and average food options. Seats were comfortable enough to sleep in. Cabin crew were pleasant and attentive with keen eyes for details. IFE movie choices were limited and could use some updates. All in all still a good 10-hour flight experience.",Business,8
591,american-airlines,V Kosonen,2015-06-28,"You get what you pay for, is how I feel after my second trip with American Airlines. But to be honest, was expecting a worse so I was pleasantly surprised. Flights were on time. Food and drinks were served during the flight. Wine, beer and soft drinks were served for free. Staff was polite, efficient and a few almost friendly. Plane new and clean. Water and juice or soft drinks were left available overnight to be self served. Lots of movies for entertainment. But Online check in was impossible. Especially with a connecting flight (even OneWorld one). Ground service was badly arranged at LAX. No signs or staff to seek help from. Seats in economy uncomfortable. Leg room absolutely minimum for a long-haul flight. Entertainment system worked well but selection in music was terrible. Screen didn't turn so when seats are reclined it's almost impossible to watch anything on it. Quality, taste and portion size of food was a little disappointing. At the end of the day we got where we wanted to go. On time. With no sleep but very, very cheap.",Economy,3
592,air-canada-rouge,Barbara Turzanski,2015-07-06,"Lufthansa marketed the flights I purchased and I was shocked to find out in the small print that we were flying Air Canada Rouge. We flew from Newark connecting through Montreal to Rome on June 27. The return trip was Venice through Montreal to Newark on July 5. Jazz provided service on the Newark/Montreal legs. We did not experience any of the problems that other travelers mentioned. We were served hot meals that were actually good, as far as plane food goes. The plane appeared to be in good condition and clean. We downloaded the in flight app ahead of time. The movies were old and there could be a better selection. The cabin temperature was adequate. Each seat had a blanket and pillow. We saved $600 using Air Canada and were very pleased. I would definitely fly on Rouge in the future.",Economy,9
593,china-eastern-airlines,Ricardo Garcia,2015-07-30,"I have never experienced such a dreadful service. The flight from Ho Chi Minh to Shanghai was delayed and I was notified even considering that was an overnight flight. At the Ho Chi Minh airport no one took responsibility or tried to communicate with Shanghai to report the delay and ensure that passengers in transit can be transferred as soon as possible to the next flight. When I arrive in Shanghai it was even worse. The ground staff did not speak English, no one could help me or tell me where should I go to change my flight to Beijing. I had to pick up my luggage and find the check in counters and someone who can guide. Staff had limited English skills in a large international airport and I had to consult about 6 counter desks without any positive response. Finally I was booked in the next flight. And while waiting the staff at the business lounge told me that my flight did not have a time of departure and offered me to change me in another flight 1 hours after!  No one could ensure if my luggage will be changed to the new flight even. As I said really the worse airline ever. I'm writing this waiting at the Shangai airport for my flight to Beijing (whenever that happen).",Economy,1
594,qatar-airways,Ahsanul Rizki,2015-06-15,"Flew ZRH-CGK via DOH return onboard B787 and B77W. 3 out of 4 flights arriving/departing DOH were using busses instead of Aerobridge. Not so good for the huge new Hamad International Airport. Meals were all delicious but could be improved in term of quantity. Entertainment onboard were nice, responsive and easy to navigate (It surely great for Indian pax, as it has a lot of Indian contents!). Inflight connectivity works. Cabin service were superb. Crew were genuinly friendly and efficient on all 4 flights! For the price I paid, I will definetly choose Qatar Airways again in the future. ",Economy,9
595,aegean-airlines,P Vlogianitis,2015-08-01,"Flight to Larnaca was a joy. Generous legroom, nice meals and a fantastic range of drinks to choose from. Crew was attentive and it is nice that Aegean leave the cockpit door open during boarding..",Business,10
596,lot-polish-airlines,Bonita Middleton,2015-06-13,"We did a round trip. I am gluten-intolerant and requested gluten-free meals. The first one, dinner, was good, I was very pleased. The ""breakfast"" consisted of two muffins and fruit. No butter or jelly! And I paid $15 for that! On the way back our flights changed and I didn't know I was supposed to confirm the gluten-free meals. Therefore, they didn't have any for me. The flight attendants were very helpful though, they brought me a vegetarian meal that was not claimed for one meal and for the second one they put together a meal for me - mostly salads, fruit, and nuts. I was pleased with the service and that they went above-and-beyond to provide me with the meals I needed. I can't say enough about the good service. We brought back three adopted boys who spoke only Polish and the attendants were very patient in answering their questions since we could not understand them.",Economy,8
597,lufthansa,Philip O'Connor,2015-07-18,"Flew from Heathrow to Barcelona via Frankfurt and back. Check in at Lufthansa at new Terminal 2 Heathrow at 06.00 in morning chaotic and lengthy - lots of passengers, too few check-in staff, check in equipment seemed not to be functioning well. Transfer at Frankfurt is complicated and long, compared with for example, Schipol, but better than Paris. All flights pretty full - but full compliments to Lufthansa cabin crew, very friendly and attentive given busy short haul flights. Complete punctuality. Also, a nice touch that pilot comes out of cockpit to say goodbye to passengers at end of flight. In contrast to Heathrow, check in at Barcelona extremely quick and efficient. All in all a good experience. ( As a bit of plane spotter, a bonus was that the LHR/FRA flight was on a retro livery Airbus!).",Economy,8
598,emirates,Michael Gardiner,2015-06-17,"EK863 and EK19 on 12 June and it was a seamless experience. I've been doing this route (or one to Birmingham) regularly for over 2 years now and appreciate the consistency of the service. The A332 Muscat-Dubai is rather old but who cares for a 45-minute hop, but service is still very good. I also had a free upgrade to First to go with one from Manchester to Dubai on the outward journey, so I guess that increases the feel good factor! The leg to Manchester on an A380 was perfect. The cabin crew were good , service was efficient. A good meal, an entertaining movie, a couple of hours sleep before a light snack and then chauffeur service to get me home.",Business,10
599,virgin-atlantic-airways,Rosemary Westgarth,2015-07-24,"This is the second time we have travelled Virgin Premium Economy which is their middle tier somewhere between economy and business. Quick check in at Premier and Upper check in desk. We were slightly late taking off but this was made up in flight and we arrived a few minutes early in New York. We were greeted with a glass of champagne on arrival and boarded first. The seat was comfortable though it only reclines does not become a bed but leg room is good compared to either economy or BA premium economy. Food was good and my husband's gluten free meal came as ordered and was fine. Inflight entertainment worked well though I read and the attendants were helpful so all in all we were happy. This is the third time we have flown long haul with Virgin and the third good experience,",Premium Economy,9
600,air-new-zealand,Mike Halpenny,2015-07-27,After delayed arrival of connecting inbound flight it was always going to be a rush to catch Air NZ flight in Melbourne but Air NZ made sure all connecting passengers were on board before departure. Service was fine and a meal offered and drinks. Lots of movies and shows to watch for 3 hour hop across Tasman arriving on time back in Christchurch. It was always going to be a struggle and none of the delayed passengers luggage made the connection so remained in Melbourne. It is moments like this that AIR NZ customer service comes to the front and you can see why they look after their passengers. Details were taken and arrangements made with bags placed on the next flight arriving in late at night. Air NZ called first thing to advise bags had arrived and would be delivered that morning by van. Don't blame Air NZ for bags missing flight and the efforts to make sure the delay was kept to a minimum was good.,Economy,8
601,virgin-atlantic-airways,C Bain,2015-06-19,Return journey with Virgins Little Red service. What a fantastic flight yet again with this service. Planes look fresh and as new. Interior is clean with fantastic purple leather seats. Staff happy to see you and welcome you onboard. Qucik snack and drink service given and includes alcohol. A great shame that this flight is stopping soon. A real pleasure to fly with.,Economy,10
602,air-transat,Debrah Walsh,2015-07-18,"I travel frequently with Air Transat in Club Class. The service is always great and the best part is the larger seat which is great for sleeping. The food is not always the greatest and the menu has not changed in the 10 years I have flown with them, but the early boarding and extra leg room along with a dedicated washroom makes this a pleasant experience.",Business,8
603,air-canada,M Dietrch,2015-06-22,"YYZ to ZRH on Boeing 787 in economy with my wife and infant. Check in staff in Toronto very helpful and the line moved quickly. Boarding and flight departure on time. I am 6'4"" and flying economy I was worried about leg room as I was unable to reserve a preferred seat. Air Canada Boeing 787 cabin was clean and felt open with the lighting and larger windows. I was surprised at the amount of leg room there was in an economy seat, as so many people have stated it was poor. My knees did touch the seat in front of myself however I was able to extend them under the seat with no problem. My wife being much shorter had plenty of room. I would suggest when travelling with an infant to take advantage of the bassinet seat as we did on the return flight. The seats are slightly narrow. The inflight entertainent was great having your own personal screen to watch numerous movies and TV shows. The only issue with these is that there is a ""remote"" control located on the arm rests. The buttons are usually pressed by the person sitting beside you which will cause your seat light and functions on the entertainment screen to be activated (sucks when watching a movies and volume keeps going up and down). The flight attendants were very friendly and helpful and service with a smile. Our first flight they even attempted to have people give up the bassinet seat to allow us to sit there. We had a great expirence flying with AC and will use them again in the future for sure. And on a side note the pasta served for the meal is much better than the chicken.",Economy,9
604,etihad-airways,Jack Brown,2015-07-31,"My first trip on Etihad was disappointing, BKK-AUH-FCO-AUH-BKK with the web purchased business upgrade for the BKK-AUH sector didn't turn out to be much of an Etihad experience. The sector BKK-AUH was on a Jet Airways and the sector from AUH to FCO with Alitalia. Zero Etihad experience. BKK-AUH was ok as I slept the trip in Biz class though the configuration of the Jet Airways business class is a bit odd. Everyone is pointing sideways. AUH-FCO operated by Alitalia wasn’t as pleasant. Staff seemed clearly unhappy and stressed out. At the end of a cartoonish safety video that ends with the phrase “your crew is perfectly trained” the Captain announced in English “Cabin staff get ready for landing” as we were still waiting at the foot of the runway for take-off. I had to contact by phone Etihad’s 24 hour help center, besides not being particularly friendly or polite, they didn’t understand the problem I had and finally left me hanging on the phone until the system cut me off. This happened twice. Because the issue surrounded a 6 + 11 hour delay and because the flight originated from Europe where consumer rights state that any flight with a delay greater than 5 hours may be refunded I was able to change carriers and fly back with a different company. Etihad thanks but no thanks, never again.",Business,1
605,united-airlines,Emily Callahan,2015-07-01,"Flight on my way from Jacksonville to Washington (final destination Italy) was cancelled for 17 hrs due to weather. Then on my flight back from Chicago to Jax another 3 hr delay. The flight attended brushed off as if I was ridiculous about making a fuss since ""people wait 8 hrs for flights Miss"".  I don't pay $2000 round trip for over 20 hrs of cancellations and delays : will avoid this airline if at all possible!",Economy,3
606,united-airlines,Howard Cheng,2015-07-16,"A very enjoyable flight in Business Class from YVR to SFO. We had priority check in, which was great as the economy queues were really long, thus we were given much more time to spend in YVR airport. However, I was a bit disappointed that Business Class passengers didn't have a priority security check lane in YVR. The seats were wide and legroom was great for a 2.5 hour flight. We were served a pre-takeoff drink and then a two course meal, which consisted of mushroom soup and a beef salad/egg chicken sandwich. The cabin crew were friendly and I couldn't really ask for more on this flight. We had Personal TV's on the flight and a wide range of newly-released movies. Wifi was available but I did not use it. We had 4 checked bags and they were one of the first to come out due to priority baggage, and helped us make use of our limited amount of time in San Francisco. I will definitely fly this route again on Business Class with United.",Business,9
607,saudi-arabian-airlines,Lou Bekovic,2015-07-27,"Outbound from Heathrow was good. Food was served with a menu card, nice silver cutlery and service was professional despite having many trainees onboard. B777 aircraft - seat was brand new and very comfortable legroom. 3 entrée choices on the menu usually only two for other airlines. Toilet clean, aircraft clean. After the 4.5 hours transit transfering to a different B777 and everything changed. More experienced staff but toilet dirty even before boarding. Crew were rude denying me to use the toilet despite the flight being grounded for 1.5hours delay without any explanation. Food not served with any menu card like previous leg, had to ask staff to show before serving and it was cold. Plane was dirty could see clumps of dirt and dust on the floor. Seat not that comfortable but legroom was still bearable. Overall mixed experience, will take it because of the 46kg luggage allowance something not seen even in business class for most airlines.",Economy,7
608,aegean-airlines,Constantino del Conte,2015-06-19,"A good flight, on time. Flight attendants were pleasant and friendy. Was traveing with my partner, we got bored halfway through the flight as there is no inflight entertainment system. Hot food was served, overall a positive experience.",Economy,8
609,iberia,D Ito,2015-06-11,"San Jose (SJO) / Madrid in May. San Jose airport lounge by third company was standard. A new flat seat with a huge PTV screen was very comfortable. Business class passengers got 4MB internet coupon. Flight internet worked well. Meals were fine, however, the quality of appetizer was down compared with a few years ago. Wine selection was great as always.  Crews were kind and friendly. After arrival at Madrid, no gate was ready and we had to park on the open spot. No bus or passenger step ladder. We had to wait for them more than 10 min after the belt sign was off",Business,7
610,spirit-airlines,Julius Fountain,2015-06-28,"Flight out from LaGuardia got cancelled, after I waited at the airport for 3 hours, ground staff was entirely unhelpful. Flight back from Chicago also got delayed 3 hours, once again, ground staff was entirely unhelpful.",Economy,1
611,british-airways,Eamon Callan,2015-07-28,"I have flown in business class with BA on many occasions and found the service to be hit and miss. If you get an indifferent crew - which, in my experience, is not far off half the time - they want you to eat your dinner as fast as possible, go to sleep and not bother them any more. Once such a crew spot the blankets coming out they cease interest in you, never check on you, and leave you to ask for everything. I have never had that experience in business class with other airlines, for example Emirates, EVA or Lan Chile, quite the opposite. Anyway, BA were offering a special price to upgrade (cash only) to first on my Vancouver-Heathrow flight. I thought I'd try it. It was a waste of money. The first sign of trouble was the fact that I was not welcomed or addressed by name - an absolute must I think. Then the (male, and they tend to be the worst on BA, I am sorry to say) flight attendant came round handing out menus as though we were in economy - he just doled them out rather than hand them to, and speak to, each passenger in a personal manner. The wine selection didn't seem so very much better than business class and when I asked a specific question (flavour of champagne) the flight attendant didn't know the answer. I eat slowly and was still on my main course (lamb, and rather dry) when the dreaded time arrived for the blankets to make their appearance. I thought 'Oh no, surely not in first'. Well, I was wrong. I was left staring at my dirty plate and eventually had to summon the flight attendant and ask to see the menu for dessert. After that, unbelievably, I was abandoned again and, in protest, got up from my seat and went off in search of a crew member. I asked to speak to the cabin services director (female, delighful manner) who was full of apologies, of course, and off I went back to my seat. When I was finally given coffee, the flight attendant who brought it (another female) confided that BA don't have the staff numbers to pay the same attention to first or business passengers that some other airlines do, I couldn't believe my ears. As for the cabin, being in the nose of the 747,I felt cramped. The mood-changing lighting doesn't compensate for the dark, monotone blue of the seats and carpet. The in-light entertainment was to my surprise just the same as on the rest of the plane. I know this reads like a demolition job on BA but I have made no exaggerations. I really think Willie Walsh should don a false beard and shades and take a decent number of flights in business and first on his own planes. He'd find out for himself. I want BA to be the best and it simply isn't. Lastly, my experience of the hit and miss service of BA business class is shared by every other person I have ever mentioned it to. If you're flying BA stay in business class, you're not missing anything.",First,2
612,jetblue-airways,A Obando,2015-07-18,"Both flights to Puerto Rico and back were pleasant. On time and services were great. However, on my way back home, I had a back injury that flared up during the trip and the people from Jetblue were great in assisting me with a wheelchair from beginning to end. I will definately recommend them and use their service in the future. ",Economy,10
613,japan-airlines,M Hiro ,2015-06-16,"Arrived Early at Manila Airport. Airline Security were friendly and accommodating. Only Few counters were opened. one for One world, one for J-class and 2 for Y-class, which makes the queue waiting time longer. Staff were friendly too. The plane was newly refurbished B767 Sky Suite with added leg space and bigger LCD monitor. Food was ok, didn't know that there is only one menu choice on board.",Economy,8
614,garuda-indonesia,Anton Suwandi ,2015-07-01,"Seated in 25G where it is a small economy cabin section. Seat pitch and width are very comfortable as the seat in economy was configured 3-3-3 which is good for both short and long haul flights. The beverage and meal service are good considering it is a short flight. The Inflight entertainment system is responsive and power plugs are available. The cabin crew were friendly, polite and attentive.",Economy,8
615,klm-royal-dutch-airlines,Clarence Messler,2015-07-28,The plane's interior was updated and nice. The food was the best I've eaten on any flight in economy flying from Europe to US. I was very impressed. Other than that the rest was average. There wasn't any real or major disappointments with the cabin crew but I didn't real feel extra special or overly accommodated for. It was just average. Other than that no complaints.,Economy,6
616,british-airways,A Ray,2015-07-12,"Check in at First counter by a scruffy guy who wouldn't check my bag through on a connection. The ground crew were ordinary on First check in (nothing special) and in the lounge. Unable to answer if there was an arrivals lounge at Changi and just not interested in passengers (sorry customer) compared with comparable Qantas products. Managed to get upstairs at the last minute on BA11 (10/7). Excellent cabin crew. Couldn't have been more different than on any other sector on this trip. Interesting and interested. They couldn't understand the lack of through bag at Singapore. Good food, clean cabin, uncomfortable and dated seat so didn't sleep much. This cabin crew probably don't go on to Sydney. Shame because they were excellent.",Business,4
